#{"t_start": 1632458574.6081176, "env_id": "RockWalk-v0"}
r,l,t
9.560839,35,2.203417
99.464366,110,2.41445
-4.584444,49,2.522516
-181.409173,81,2.691905
6.674295,25,2.75997
-31.72793,70,2.908786
-48.590691,97,3.106345
-7.386127,41,3.204234
